,Work Happiness Score,Flexibility,Learning,Achievement,Appreciation,Inclusion,Support,Purpose,Energy,Compensation,Satisfaction,Management,Trust,Belonging,Stress-free,Company
0,65,77,71,70,70,69,69,67,64,64,63,63,63,61,57,Oracle
1,55,55,60,62,61,55,59,59,56,69,54,52,52,50,58,The J. M. Smucker Company
2,65,72,68,70,75,73,73,70,67,60,64,64,66,65,46,Starbucks
3,76,84,80,78,82,79,80,78,74,82,75,75,76,74,58,Salesforce
4,67,69,68,72,71,68,70,70,68,67,64,65,64,64,56,Nordstrom Inc
5,56,60,61,65,61,56,60,62,59,61,54,53,53,52,52,Walmart
6,62,63,71,68,69,67,71,67,56,66,52,62,62,57,,Convoy
7,64,87,77,65,72,76,76,74,69,64,,72,75,70,,Aspen RxHealth
8,69,83,60,68,55,64,51,72,70,56,64,48,56,55,66,DoorDash
9,68,75,70,72,71,69,70,70,66,68,63,67,63,61,52,Lenovo
10,68,73,72,73,73,69,71,73,68,73,66,64,66,65,61,Bayer
11,66,71,73,72,72,69,71,71,66,69,65,65,66,63,53,Morgan Stanley
12,64,70,67,70,70,67,69,71,66,66,63,62,63,62,54,Publix
13,64,69,66,67,62,62,61,70,63,68,65,60,58,57,63,Teladoc Health
14,69,69,74,72,73,70,73,78,69,66,69,66,69,67,52,University of Utah Health
15,75,75,82,77,75,72,76,80,76,80,69,75,69,77,45,Central Intelligence Agency
16,51,60,58,60,55,47,60,56,54,56,47,49,48,46,46,Unified Women’s Healthcare
17,49,59,61,61,54,53,57,63,57,52,55,53,47,51,49,Center for Family Health and Education
18,72,73,74,75,73,72,72,76,71,78,69,64,68,67,57,MasterCard
19,63,70,66,63,67,67,65,73,64,63,,64,64,65,62,American Institutes for Research
20,71,73,72,71,72,70,73,69,69,67,67,74,71,72,65,Glassdoor
21,72,71,77,76,74,73,74,77,73,71,70,69,69,70,49,ESPN
22,71,71,80,76,78,79,77,78,69,71,80,71,75,73,48,McKinsey & Company
23,71,74,77,76,77,74,75,80,74,76,70,70,70,71,56,NewYork-Presbyterian Hospital
24,73,74,76,74,78,75,77,76,69,73,78,73,71,70,59,Invesco
25,72,,71,78,71,72,69,77,76,,,68,71,68,,Lumentum Operations LLC
26,63,68,64,69,68,69,69,68,64,65,64,64,63,61,59,Gap Inc.
27,67,68,71,75,74,68,72,69,65,68,,68,66,63,,Tokio Marine HCC
28,41,45,44,55,47,44,46,43,52,59,39,32,34,37,47,Happy Returns
29,69,71,73,75,71,68,69,73,69,81,73,65,65,65,61,Hexcel Corporation
30,61,65,68,66,66,57,67,67,62,58,62,57,56,57,52,Mercy
31,65,75,69,71,70,66,68,71,66,70,64,62,63,60,61,Leidos
32,61,61,66,69,64,62,64,66,62,61,62,60,56,57,55,"DriveTime Automotive Group, Inc."
33,68,67,66,72,71,72,67,70,64,65,72,69,68,69,62,Newsday Media Group
34,71,74,75,75,74,71,71,75,71,72,68,67,67,64,61,Jacobs
35,58,67,68,67,67,67,68,68,57,68,61,63,61,59,48,"The Travelers Companies, Inc."
36,64,65,74,70,70,66,67,74,67,65,63,59,62,62,51,UVA Medical Center
37,64,64,67,69,69,65,67,68,66,64,63,62,59,61,58,Caesars Entertainment
38,73,75,78,76,79,75,78,79,73,70,73,70,72,71,62,University of Pennsylvania
39,62,69,70,65,73,62,70,73,60,59,66,66,61,61,51,LifeWorks NW
40,60,69,65,74,62,58,62,62,63,57,58,50,56,55,51,Shift
41,76,80,77,78,78,77,76,79,76,80,80,69,76,74,67,NVIDIA
42,61,81,76,74,65,64,62,72,65,72,64,56,56,58,65,Radian
